eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
199607022,1996-06-12,Quebec Closed,QC,10,0,3.5,2278,2404,R
199609066,1996-08-03,Quebec Open,QC,48,0,6.0,2501,2422,R
199609098,1996-08-29,Canadian Closed,ON,16,0,8.5,2489,2442,R
199708056,1997-08-02,Quebec Open,QC,53,101027,5.5,2409,2436,R
199809001,1998-06-14,CIQ 1998,QC,10,0,2.0,2103,2377,R
199809005,1998-08-01,Quebec Open Chess Champ 1998,QC,72,0,5.0,2387,2379,R
199909017,1999-06-25,Quebec Closed,QC,15,0,1.5,2241,2368,R
200007007,2000-06-27,Quebec Closed 2000,QC,8,0,0.5,2172,2360,R
200906070,2009-06-27,Championnat Invitation du Québec,QC,10,126146,3.0,2319,2340,R
200907032,2009-07-25,Championnat Ouvert du Quebec-A,QC,20,121276,4.0,2396,2354,R
201007051,2010-07-31,Ch ouvert du Québec Sec Invitation,QC,26,126146,4.5,2358,2360,R
201107036,2011-07-30,2011 Quebec Invitational,QC,31,123360,4.5,2411,2369,R
201112017,2011-12-11,Varennes Invitation 2011,QC,6,106007,3.5,2340,2367,R
201207039,2012-07-28,Ch Ouvert du Quebec Invitation 2012,QC,32,123360,1.5,2188,2341,R
201212057,2012-12-30,Tournoi du Pere Noel 2012,QC,32,154439,4.0,2355,2344,R
201307044,2013-07-28,2013 Quebec Open - Invitational,QC,55,126146,4.0,2340,2345,R
201408003,2014-07-26,Canadian Open - 2400+,QC,43,106007,4.0,2275,2334,R
201508016,2015-07-20,2015 Francophonie Blitz Open,QC,74,106007,6.0,1833,2088,Q
201605031,2016-05-01,Championnat Ouvert de McGill 2016,QC,37,148323,3.5,2305,2332,R
201609015,2016-09-11,Championnat Ouvert de Montréal 2016,QC,56,131928,4.0,2348,2333,R
201702054,2017-02-12,"CMA Futurity # 01, Section A",QC,6,101034,2.0,2231,2323,R
201704066,2017-04-16,"CMA Futurity # 02, Section A",QC,6,101034,1.5,2124,2303,R
201708007,2017-07-30,Festival St Denis Mont Royal,QC,31,101034,5.5,2290,2302,R
201709015,2017-09-10,2017 Montreal Open A,QC,41,106007,2.5,2134,2285,R
201907002,2019-06-23,CHAMPIONNAT OUVERT DE LAVAL 2019,QC,47,134227,4.0,2435,2300,R
201909022,2019-09-08,2019 Montreal Open,QC,28,170035,2.5,2119,2282,R
202410025,2024-09-17,Blitz Bishops Sept FIDE Rapid,QC,14,171509,4.0,2300,2265,Q
