eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
199607053,1996-06-30,TO Canada Day Open,ON,36,0,3.5,2442,2279,R
199609024,1996-06-19,TO Mike Copping Mem,ON,14,103681,5.5,2338,2295,R
199609080,1996-08-11,NBIO Open Section,ON,79,103427,5.0,2322,2303,R
199609103,1996-09-02,1996 Macedonian Open,ON,42,106342,4.0,2463,2325,R
199705093,1997-05-19,Toronto International Open,ON,45,100902,3.0,2154,2305,R
199708038,1997-08-10,NBIO Open,ON,59,120817,5.0,2301,2304,R
199801014,1997-12-28,Christmas Day Open,ON,22,0,3.0,2349,2308,R
199808028,1998-08-03,Simcoe Day Open,ON,15,100182,3.0,2294,2307,R
199808031,1998-08-09,FCGIO Open,ON,65,0,4.0,2219,2291,R
199906057,1999-05-24,Victoria Day Open,ON,25,0,3.0,2209,2283,R
199908047,1999-08-08,99 FCGIO Open,ON,67,0,3.5,2115,2252,R
199909031,1999-09-09,1999 Canadian Closed,ON,26,104137,4.5,2302,2262,R
199911058,1999-11-14,TO Remembrance Day Open,ON,23,100942,2.5,2130,2248,R
200001029,1999-12-28,Pan Am Open,ON,36,106974,0.5,1937,2229,R
200007030,2000-07-16,2000 Canadian Open,AB,193,0,7.0,2268,2240,R
200102091,2001-02-07,2001 Toronto Closed Championship,ON,12,0,9.5,2383,2270,R
200202065,2002-02-09,2002 Toronto Closed Championship,ON,12,0,7.0,2217,2259,R
200312034,2003-11-29,GTCL Capped Team Active,ON,28,0,3.0,2011,2300,Q
200412055,2004-11-21,November Open  2004,ON,37,0,2.5,2038,2250,R
200507066,2005-07-17,2005 Canadian Open,AB,222,0,6.5,2195,2247,R
200607022,2006-06-29,BGC 96,ON,4,128173,4.5,2379,2262,R
200908044,2009-08-25,CCC Grand Prix 2 Section A Active,AB,4,144016,1.0,1761,2274,Q
201005068,2010-05-24,2010 Ontario Open,ON,31,100234,2.5,2216,2268,R
201007034,2010-07-19,2010 Canadian Open,ON,265,111830,5.5,2113,2250,R
201008058,2010-08-29,Women vs Masters Team Scheveningen,ON,12,100234,6.0,2122,2283,Q
201101042,2011-01-24,Bill Harrington Memorial,ON,6,100234,4.0,2136,2246,R
201107027,2011-07-17,48th Canadian Open Ch 2011,ON,152,100234,5.5,2261,2251,R
201207028,2012-07-20,2012 Toronto International - Crown,ON,20,111830,2.5,2073,2234,R
201208001,2012-08-01,2012 Annex CC Beach Blanket Top,ON,18,102713,2.0,1898,2216,R
201506065,2015-06-21,Toronto Blitz Championship 2015,ON,31,0,7.0,1920,2223,Q
201509041,2015-09-21,ACC Dog Days Swiss Crown,ON,16,0,2.0,1889,2192,R
201606082,2016-06-26,Toronto Blitz 2016,ON,44,135360,6.5,1955,2164,Q
201803059,2018-03-12,ACC Club Championship 2018,ON,14,102713,3.5,2172,2194,R
202002031,2020-02-10,ACC February Blitz,ON,32,102713,6.0,1743,2120,Q
202111032,2020-03-09,ACC Club Championship 2020,ON,16,102713,2.0,2105,2189,R
202207019,2022-07-03,Mississauga Summer Championship,ON,15,135185,2.0,2001,2158,R
202207039,2022-07-17,2022 Canadian Open,ON,251,111830,4.5,1772,2059,R
202208005,2022-08-01,Canadian Senior Chess Champ 50plus,NS,24,126660,3.5,2122,2081,R
202209029,2022-08-22,2022 Toronto Blitz,ON,97,152286,6.5,1811,2031,Q
202301058,2023-01-23,ACC Winter Is Coming Crown,ON,19,152286,1.5,1971,2074,R
202310030,2023-10-09,2023 Ontario Seniors Championship,ON,10,121329,3.0,1941,2053,R
202312069,2023-12-14,2023 Toronto Senior Championship,ON,10,139674,5.0,1960,2035,R
202402130,2024-02-22,Greater Toronto Chess League 2024,ON,46,139674,3.5,1760,1993,R
