eventId,eventDate,eventName,eventLocation,numPlayers,organizer,score,ratingPerf,ratingPost,rating_type
199609103,1996-09-02,1996 Macedonian Open,ON,42,106342,2.5,2332,2403,R
199610088,1996-10-14,TO Thanksgiving Open,ON,50,100902,4.0,2422,2405,R
199704055,1997-03-30,Toronto Open,ON,41,0,5.0,2627,2432,R
199705093,1997-05-19,Toronto International Open,ON,45,100902,3.5,2340,2421,R
199807046,1998-07-19,1998 Canadian Open,ON,223,101613,7.5,2385,2425,R
199909001,1999-08-01,Quebec Open 1999,QC,75,0,0.5,1808,2378,R
200103084,2001-03-18,ICC March 18th Active,ON,47,0,3.0,1965,2332,Q
200109089,2001-08-31,ICC August Active,ON,45,0,2.0,1958,2310,Q
200207058,2002-06-16,ICC June Active,ON,36,0,2.0,1877,2284,Q
200309017,2003-08-30,2003 NL Open,NL,16,0,4.5,2109,2372,R
200409039,2004-09-05,Newfoundland Open 2004,NL,18,0,4.5,2179,2368,R
200507029,2005-07-03,Toronto Canada Day Open,ON,14,0,2.5,2301,2361,R
200509031,2005-09-04,NLOpen 2005,NL,15,0,5.0,2156,2366,R
200609037,2006-09-03,Newfoundland Open 2006,NL,13,103802,5.0,2260,2374,R
200709016,2007-09-02,NL Open 2007,NL,13,103802,5.0,2197,2385,R
201304032,2013-04-21,2013 NL Open,NL,13,110630,3.5,2201,2377,R
